Timestamp,Longitude,Latitude,altitude,Northward Velocity (m/s),Eastward Velocity (m/s),v_down,Northward Acceleration (m/s²),Eastward Acceleration (m/s²),a_down
0,106.5051664,29.5,0,31.6227766,0,0,0,-2,0
1,106.5051561,29.5002842,0,31.55955213,-1.998666933,0,-0.126406796,-1.996001333,0
2,106.5051251,29.50056727,0,31.37013152,-3.989341863,0,-0.252308133,-1.984021322,0
3,106.5050737,29.50084806,0,31.0552722,-5.964064744,0,-0.377200574,-1.96410787,0
4,106.505002,29.50112547,0,30.6162332,-7.914939318,0,-0.500584716,-1.936340606,0
5,106.5049102,29.50139837,0,30.05477009,-9.834164685,0,-0.621967186,-1.900830561,0
6,106.5047989,29.50166568,0,29.37312796,-11.7140665,0,-0.740862616,-1.857719727,0
7,106.5046683,29.50192634,0,28.57403247,-13.54712767,0,-0.856795584,-1.807180491,0
8,106.5045191,29.50217929,0,27.66067895,-15.32601839,0,-0.969302512,-1.749414942,0
9,106.5043518,29.50242352,0,26.63671959,-17.04362547,0,-1.077933522,-1.684654066,0
10,106.5041671,29.50265807,0,25.50624887,-18.69308077,0,-1.182254234,-1.61315682,0
11,106.5039658,29.50288198,0,24.27378715,-20.26778867,0,-1.281847506,-1.535209097,0
12,106.5037485,29.50309437,0,22.94426264,-21.76145243,0,-1.376315097,-1.451122584,0
13,106.5035163,29.50329439,0,21.52299167,-23.16809939,0,-1.465279263,-1.361233515,0
14,106.5032701,29.50348124,0,20.01565743,-24.48210484,0,-1.548384264,-1.265901327,0
15,106.5030107,29.50365416,0,18.42828725,-25.69821451,0,-1.625297793,-1.165507221,0
16,106.5027394,29.50381248,0,16.76722848,-26.81156559,0,-1.695712298,-1.060452641,0
17,106.502457,29.50395555,0,15.03912315,-27.81770614,0,-1.759346214,-0.951157663,0
18,106.5021649,29.5040828,0,13.25088137,-28.71261296,0,-1.81594509,-0.838059323,0
19,106.5018641,29.50419372,0,11.40965374,-29.4927076,0,-1.865282608,-0.721609863,0
20,106.5015558,29.50428788,0,9.522802706,-30.15487073,0,-1.907161481,-0.602274925,0
21,106.5012413,29.50436489,0,7.597873154,-30.69645458,0,-1.941414251,-0.480531691,0
22,106.5009219,29.50442445,0,5.642562238,-31.11529353,0,-1.967903952,-0.35686697,0
23,106.5005987,29.50446631,0,3.664688596,-31.40971279,0,-1.986524661,-0.231775258,0
24,106.5002732,29.50449032,0,1.672161086,-31.57853507,0,-1.99720192,-0.105756753,0
25,106.4999466,29.50449637,0,-0.32705284,-31.62108531,0,-1.999893034,0.020684638,0
26,106.4996202,29.50448444,0,-2.324958991,-31.53719337,0,-1.994587241,0.147043318,0
27,106.4992953,29.50445458,0,-4.313568405,-31.3271947,0,-1.981305759,0.27281402,0
28,106.4989732,29.5044069,0,-6.284929296,-30.99192901,0,-1.960101695,0.39749383,0
29,106.4986552,29.50434161,0,-8.231158849,-30.53273692,0,-1.931059838,0.520584195,0
30,106.4983426,29.50425895,0,-10.14447474,-29.95145459,0,-1.894296315,0.641592917,0
31,106.4980367,29.50415927,0,-12.01722626,-29.25040638,0,-1.849958133,0.760036122,0
32,106.4977386,29.50404295,0,-13.84192489,-28.43239553,0,-1.798222584,0.875440197,0
33,106.4974495,29.50391047,0,-15.61127427,-27.500693,0,-1.739296542,0.987343678,0
34,106.4971706,29.50376235,0,-17.31819937,-26.45902437,0,-1.673415633,1.0952991,0
35,106.4969031,29.50359918,0,-18.95587476,-25.31155491,0,-1.600843293,1.198874786,0
36,106.4966479,29.50342163,0,-20.51775193,-24.06287298,0,-1.521869713,1.297656571,0
37,106.4964061,29.50323039,0,-21.99758544,-22.71797163,0,-1.436810683,1.39124946,0
38,106.4961787,29.50302623,0,-23.38945793,-21.28222868,0,-1.346006326,1.479279206,0
39,106.4959666,29.50280997,0,-24.68780377,-19.7613852,0,-1.249819739,1.561393807,0
40,106.4957706,29.50258248,0,-25.88743131,-18.16152251,0,-1.148635538,1.637264915,0
41,106.4955915,29.50234466,0,-26.98354364,-16.48903795,0,-1.042858327,1.706589145,0
42,106.4954301,29.50209747,0,-27.97175777,-14.75061922,0,-0.932911073,1.769089294,0
43,106.4952869,29.50184189,0,-28.84812215,-12.95321768,0,-0.819233418,1.824515445,0
44,106.4951626,29.50157894,0,-29.60913251,-11.10402053,0,-0.702279921,1.872645966,0
45,106.4950576,29.50130968,0,-30.25174581,-9.210422106,0,-0.582518241,1.913288399,0
46,106.4949724,29.50103518,0,-30.77339246,-7.279994273,0,-0.460427265,1.94628023,0
47,106.4949072,29.50075654,0,-31.17198656,-5.320456167,0,-0.336495194,1.971489535,0
48,106.4948625,29.50047488,0,-31.44593427,-3.339643331,0,-0.21121759,1.988815509,0
49,106.4948383,29.50019132,0,-31.59414017,-1.345476373,0,-0.085095398,1.998188873,0
50,106.4948347,29.49990699,0,-31.61601163,0.654070697,0,0.041367063,1.999572146,0
51,106.4948518,29.49962304,0,-31.51146119,2.651002356,0,0.167664111,1.992959795,0
52,106.4948895,29.49934059,0,-31.28090692,4.637333539,0,0.293290725,1.978378263,0
53,106.4949476,29.49906078,0,-30.92527072,6.605121571,0,0.417744568,1.955885855,0
54,106.4950259,29.49878473,0,-30.44597466,8.546497922,0,0.540527989,1.92557251,0
55,106.4951241,29.49851353,0,-29.8449353,10.45369968,0,0.661150019,1.887559443,0
56,106.4952417,29.49824828,0,-29.12455598,12.31910057,0,0.77912833,1.841998655,0
57,106.4953785,29.49799004,0,-28.28771727,14.13524148,0,0.893991167,1.789072328,0
58,106.4955337,29.49773983,0,-27.3377654,15.89486027,0,1.005279231,1.728992096,0
59,106.4957067,29.49749865,0,-26.27849891,17.59092081,0,1.112547518,1.661998201,0
60,106.495897,29.49726749,0,-25.11415346,19.21664112,0,1.215367098,1.588358529,0
61,106.4961036,29.49704724,0,-23.84938488,20.76552048,0,1.31332683,1.50836754,0
62,106.4963258,29.49683881,0,-22.48925056,22.23136544,0,1.406035006,1.422345093,0
63,106.4965627,29.49664301,0,-21.03918921,23.60831458,0,1.493120916,1.33063516,0
64,106.4968134,29.49646064,0,-19.50499915,24.89086194,0,1.574236333,1.233604462,0
65,106.4970767,29.49629242,0,-17.8928151,26.07387903,0,1.649056903,1.13164099,0
66,106.4973518,29.49613902,0,-16.20908365,27.15263536,0,1.717283445,1.025152462,0
67,106.4976375,29.49600107,0,-14.46053747,28.12281736,0,1.778643141,0.914564692,0
68,106.4979326,29.4958791,0,-12.65416842,28.98054557,0,1.832890637,0.800319882,0
69,106.498236,29.49577362,0,-10.79719956,29.72239024,0,1.879809013,0.682874859,0
70,106.4985464,29.49568503,0,-8.8970563,30.34538497,0,1.91921066,0.562699248,0
71,106.4988627,29.4956137,0,-6.961336677,30.84703862,0,1.950938022,0.440273589,0
72,106.4991835,29.4955599,0,-4.997780986,31.22534524,0,1.974864234,0.316087423,0
73,106.4995075,29.49552387,0,-3.014240835,31.4787921,0,1.990893621,0.190637329,0
74,106.4998336,29.49550573,0,-1.018647739,31.60636576,0,1.998962087,0.06442494,0
75,106.5001603,29.49550556,0,0.98101859,31.6075561,0,1.999037371,-0.062045063,0
76,106.5004863,29.49552336,0,2.976762152,31.48235835,0,1.99111917,-0.188266969,0
77,106.5008104,29.49555906,0,4.960602635,31.23127313,0,1.975239147,-0.313736058,0
78,106.5011313,29.49561252,0,6.92460732,30.85530446,0,1.9514608,-0.437950621,0
79,106.5014477,29.49568353,0,8.860922807,30.35595571,0,1.919879212,-0.560413965,0
80,106.5017582,29.49577179,0,10.76180642,29.7352236,0,1.880620666,-0.6806364,0
81,106.5020617,29.49587697,0,12.61965715,28.99559024,0,1.833842145,-0.798137198,0
82,106.502357,29.49599862,0,14.42704607,28.14001318,0,1.779730701,-0.91244651,0
83,106.5026429,29.49613628,0,16.17674605,27.17191357,0,1.718502706,-1.023107253,0
84,106.5029182,29.49628939,0,17.86176061,26.09516254,0,1.650402991,-1.129676931,0
85,106.5031818,29.49645734,0,19.47535193,24.91406565,0,1.575703864,-1.231729407,0
86,106.5034327,29.49663945,0,21.01106782,23.63334571,0,1.494704023,-1.328856607,0
87,106.5036699,29.496835,0,22.46276744,22.25812389,0,1.407727359,-1.420670153,0
88,106.5038924,29.49704321,0,23.82464594,20.79389925,0,1.315121661,-1.506802912,0
89,106.5040993,29.49726324,0,25.09125762,19.24652673,0,1.21725723,-1.586910469,0
90,106.5042899,29.49749421,0,26.25753771,17.62219377,0,1.114525393,-1.660672499,0
91,106.5044632,29.4977352,0,27.31882267,15.92739552,0,1.007336941,-1.727794052,0
92,106.5046188,29.49798525,0,28.27086875,14.16890893,0,0.896120483,-1.788006734,0
93,106.5047559,29.49824335,0,29.10986905,12.35376559,0,0.781320739,-1.841069771,0
94,106.5048739,29.49850848,0,29.83246867,10.48922365,0,0.663396753,-1.886770985,0
95,106.5049725,29.49877958,0,30.4357782,8.582738809,0,0.542820064,-1.924927629,0
96,106.5050512,29.49905555,0,30.91738519,6.641934451,0,0.420072819,-1.95538713,0
97,106.5051096,29.4993353,0,31.27536385,4.674571211,0,0.295645842,-1.978027688,0
98,106.5051477,29.49961771,0,31.50828275,2.688515917,0,0.170036676,-1.992758773,0
99,106.5051652,29.49990164,0,31.61521053,0.691710144,0,0.043747591,-1.99952148,0
